epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.753,1.72567,3.95063,0.01031,0.00633,0.31667,0.01522,0.00646,0.90743,4.55083,0.00642,4e-05,4e-05,4e-05
2,42.8654,1.34275,3.7061,0.00766,0.008,0.4,0.05443,0.02884,0.78584,4.4252,0.00551,9.901e-05,9.901e-05,9.901e-05
3,63.3998,0.91115,3.35691,0.00512,0.011,0.55,0.17476,0.08298,1.07006,4.37338,0.00749,0.000156832,0.000156832,0.000156832
4,82.948,1.02253,3.11881,0.00497,0.01567,0.78333,0.40403,0.21856,0.95581,4.15602,0.00659,0.000213466,0.000213466,0.000213466
5,102.321,0.91637,3.07744,0.00528,0.017,0.85,0.44793,0.28696,0.85,4.04886,0.00603,0.000268912,0.000268912,0.000268912
6,121.981,0.91936,2.72629,0.00525,0.019,0.95,0.52116,0.31879,0.95264,4.03759,0.0072,0.00032317,0.00032317,0.00032317
7,142.847,0.85759,2.5438,0.00487,0.01933,0.96667,0.53517,0.36982,0.86662,3.9106,0.00621,0.00037624,0.00037624,0.00037624
8,165.163,0.90304,2.35804,0.00498,0.01933,0.96667,0.5325,0.3527,0.8938,3.90736,0.00623,0.000428122,0.000428122,0.000428122
9,185.707,0.94113,2.10529,0.00561,0.01967,0.98333,0.48603,0.34559,0.89997,3.79867,0.00619,0.000478816,0.000478816,0.000478816
10,204.641,0.97002,2.16617,0.00522,0.01967,0.98333,0.48224,0.33931,0.90827,3.7513,0.00642,0.000528322,0.000528322,0.000528322
11,223.754,0.96691,2.21493,0.0053,0.01967,0.98333,0.48722,0.33551,0.86021,3.63656,0.00629,0.00057664,0.00057664,0.00057664
12,242.704,0.98836,2.17265,0.00593,0.1664,0.75,0.48931,0.34495,0.84926,3.60014,0.00598,0.00062377,0.00062377,0.00062377
13,262.453,0.97342,1.88373,0.00548,0.25817,0.71667,0.49708,0.32878,0.88201,3.63029,0.00635,0.000669712,0.000669712,0.000669712
14,282.069,0.98531,2.10427,0.00524,0.17722,0.78333,0.5165,0.33823,0.90543,3.66086,0.00623,0.000714466,0.000714466,0.000714466
15,301.154,1.00964,1.93685,0.00578,0.01933,0.96667,0.51426,0.34411,0.87057,3.68385,0.00597,0.000758032,0.000758032,0.000758032
16,320.326,0.89823,1.89985,0.00527,0.019,0.95,0.51965,0.37109,0.85702,3.66975,0.00574,0.00080041,0.00080041,0.00080041
17,339.541,0.91763,1.78046,0.005,0.019,0.95,0.55423,0.40657,0.79338,3.61578,0.00551,0.0008416,0.0008416,0.0008416
18,358.658,0.84533,1.75258,0.00468,0.019,0.95,0.61,0.44348,0.80371,3.62504,0.00579,0.000881602,0.000881602,0.000881602
19,377.788,0.87429,1.72725,0.00471,0.019,0.95,0.68906,0.48965,0.82606,3.56145,0.00595,0.000920416,0.000920416,0.000920416
20,584.555,0.89288,1.74061,0.00454,0.019,0.95,0.80836,0.57604,0.87527,3.48791,0.00615,0.000958042,0.000958042,0.000958042
21,606.448,0.87726,1.56246,0.00431,0.62239,0.86667,0.87242,0.64052,0.85685,3.38161,0.00595,0.00099448,0.00099448,0.00099448
22,625.621,0.83276,1.69584,0.00463,1,0.27166,0.86473,0.6397,0.8402,3.25395,0.00558,0.00102973,0.00102973,0.00102973
23,644.86,0.86092,1.4349,0.00497,1,0.14893,0.85978,0.63636,0.87536,3.15933,0.00582,0.00106379,0.00106379,0.00106379
24,663.797,0.89171,1.65468,0.00514,1,0.23816,0.86559,0.63474,0.9341,3.06704,0.0065,0.00109667,0.00109667,0.00109667
25,682.905,0.91651,1.48452,0.00478,1,0.32428,0.8641,0.64436,0.8802,2.94256,0.00607,0.00112835,0.00112835,0.00112835
26,701.913,0.96474,1.69246,0.00558,1,0.3504,0.85962,0.64495,0.89697,2.84752,0.00655,0.00115885,0.00115885,0.00115885
27,721.368,0.82561,1.36819,0.00439,1,0.3801,0.84895,0.60475,0.94569,2.90091,0.00679,0.00118816,0.00118816,0.00118816
28,740.751,0.85011,1.46789,0.00492,0.97659,0.41667,0.84535,0.63804,0.86883,2.83425,0.00608,0.00121628,0.00121628,0.00121628
29,874.014,0.91353,1.42082,0.00527,0.97659,0.41667,0.84535,0.63804,0.86883,2.83425,0.00608,0.00124322,0.00124322,0.00124322
30,938.128,0.85981,1.36002,0.0045,0.9401,0.45,0.84126,0.62863,0.87206,2.74234,0.00607,0.00126896,0.00126896,0.00126896
31,957.499,0.93638,1.31164,0.00555,0.86983,0.55698,0.86438,0.65133,0.92903,2.57425,0.00643,0.00129352,0.00129352,0.00129352
32,976.739,0.9602,1.34816,0.00491,0.87708,0.59472,0.87603,0.6644,0.87243,2.38948,0.00599,0.00131689,0.00131689,0.00131689
33,995.568,0.80638,1.26763,0.00484,0.87708,0.59472,0.87603,0.6644,0.87243,2.38948,0.00599,0.00133907,0.00133907,0.00133907
34,1014.08,0.92874,1.27714,0.00512,0.8989,0.59287,0.88278,0.64295,0.96598,2.29294,0.00664,0.0013466,0.0013466,0.0013466
35,1032.99,0.99256,1.30514,0.00529,0.88738,0.65672,0.89003,0.64299,0.99571,2.16505,0.00697,0.0013268,0.0013268,0.0013268
36,1052.03,0.98867,1.3617,0.00565,0.91527,0.7,0.90767,0.66735,0.94836,2.03386,0.00683,0.001307,0.001307,0.001307
37,1071.25,0.86472,1.18726,0.0048,0.91527,0.7,0.90767,0.66735,0.94836,2.03386,0.00683,0.0012872,0.0012872,0.0012872
38,1089.7,0.94926,1.25513,0.00543,0.9062,0.83333,0.93507,0.67079,0.94816,1.97447,0.00642,0.0012674,0.0012674,0.0012674
39,1108.66,0.85011,1.13371,0.00477,0.87022,0.78231,0.93355,0.68523,0.95138,1.95265,0.00655,0.0012476,0.0012476,0.0012476
40,1127.88,0.85012,1.21953,0.00488,0.84039,0.78986,0.92002,0.68681,0.90052,1.93772,0.00637,0.0012278,0.0012278,0.0012278
41,1147.03,0.9048,1.14888,0.0054,0.84039,0.78986,0.92002,0.68681,0.90052,1.93772,0.00637,0.001208,0.001208,0.001208
42,1166.11,0.94065,1.16378,0.00502,0.80151,0.8,0.90536,0.69365,0.85065,1.89003,0.00593,0.0011882,0.0011882,0.0011882
43,1184.85,0.85103,1.1181,0.00517,0.80144,0.9,0.89891,0.67073,0.84649,1.83665,0.00609,0.0011684,0.0011684,0.0011684
44,1204.04,0.81767,1.09745,0.00446,0.85406,0.8,0.91422,0.6493,1.01009,1.78903,0.00705,0.0011486,0.0011486,0.0011486
45,1223.07,0.8374,1.0945,0.00493,0.85406,0.8,0.91422,0.6493,1.01009,1.78903,0.00705,0.0011288,0.0011288,0.0011288
46,1242.33,0.86972,1.18032,0.00485,0.86526,0.81667,0.93237,0.6693,1.00214,1.69207,0.0068,0.001109,0.001109,0.001109
47,1261.4,0.8226,0.9428,0.00418,0.82728,0.87816,0.93405,0.69155,0.89569,1.58656,0.00616,0.0010892,0.0010892,0.0010892
48,1280.53,0.84067,1.04929,0.00441,0.84907,0.88333,0.93428,0.70496,0.85187,1.50158,0.00594,0.0010694,0.0010694,0.0010694
49,1299.5,0.85251,1.1011,0.00437,0.84907,0.88333,0.93428,0.70496,0.85187,1.50158,0.00594,0.0010496,0.0010496,0.0010496
50,1318.63,0.8012,1.12331,0.00431,0.88391,0.83333,0.93077,0.6942,0.85877,1.48872,0.0059,0.0010298,0.0010298,0.0010298
51,1337.74,0.84484,1.16909,0.00466,0.81438,0.85,0.92541,0.68369,0.91051,1.49579,0.0062,0.00101,0.00101,0.00101
52,1356.68,0.77288,1.01666,0.0042,0.81208,0.9,0.92073,0.66362,0.95088,1.51194,0.00652,0.0009902,0.0009902,0.0009902
53,1375.63,0.76276,1.00508,0.00373,0.81208,0.9,0.92073,0.66362,0.95088,1.51194,0.00652,0.0009704,0.0009704,0.0009704
54,1394.95,0.83634,1.03967,0.00446,0.86697,0.86902,0.92235,0.68106,0.8949,1.4859,0.00628,0.0009506,0.0009506,0.0009506
55,1414.02,0.82759,1.0115,0.00401,0.84338,0.8078,0.92464,0.70135,0.86725,1.3951,0.0061,0.0009308,0.0009308,0.0009308
56,1432.95,0.83626,0.94505,0.00434,0.88062,0.8,0.92261,0.69365,0.87284,1.35994,0.00603,0.000911,0.000911,0.000911
